Lat,Lon,BS
-34.59415,-58.478,Bajo
-37.202869,-62.642437,Bajo
-37.153641,-62.686859,Bajo
-37.127888,-62.671307,Bajo
-37.131161,-63.02179,Bajo
-37.209097,-62.86565,Bajo
-37.176619,-62.857308,Bajo
-37.3958,-63.14443,Bajo
-36.95072,-63.12348,Bajo
-36.802929,-63.332981,Bajo
-37.301609,-63.121132,Bajo
-37.35421,-63.160858,Bajo
-37.38895,-63.119518,Bajo
-37.2654,-63.03622,Bajo
-37.2703,-63.15254,Bajo
-37.163231,-63.220539,Bajo
-35.04152,-60.29292,Bajo
-35.04533,-60.28939,Bajo
-35.141911,-60.242908,Bajo
-35.14501,-60.21694,Bajo
-35.199772,-60.309448,Bajo
-34.84706,-60.3159,Bajo
-35.04914,-60.26979,Bajo
-35.09172,-60.22236,Bajo
-35.10718,-60.30929,Bajo
-34.867229,-60.322811,Bajo
-34.81813,-60.380058,Bajo
-35.01591,-60.38693,Bajo
-35.09315,-60.30825,Bajo
-35.12613,-60.1924,Bajo
-35.191181,-60.318199,Bajo
-35.05525,-60.25642,Bajo
-34.849419,-60.314171,Bajo
-35.04665,-60.215935,Bajo
-35.039227,-60.216053,Bajo
-34.846489,-60.313499,Bajo
-34.85651,-58.345436,Bajo
-36.997681,-58.398361,Bajo
-37.17849,-58.42923,Bajo
-36.94671,-58.51648,Bajo
-37.132404,-58.460655,Bajo
-37.292789,-58.687172,Bajo
-36.91794,-58.34343,Bajo
-37.116817,-58.831852,Bajo
-37.085659,-58.52206,Bajo
-37.008499,-58.63456,Bajo
-36.948891,-58.81773,Bajo
-36.836468,-58.80589,Bajo
-36.83623,-58.6519,Bajo
-36.84485,-58.66446,Bajo
-36.948841,-58.78899,Bajo
-37.26289,-58.4854,Bajo
-36.96321,-58.33801,Bajo
-36.629169,-58.536819,Bajo
-36.970364,-58.21908,Bajo
-37.324921,-58.495899,Bajo
-37.30539,-58.71816,Bajo
-37.405701,-58.584518,Bajo
-37.344082,-58.470741,Bajo
-37.374222,-58.408779,Bajo
-37.18208,-58.29128,Bajo
-37.17157,-58.30945,Bajo
-37.087421,-57.873409,Bajo
-37.095856,-58.07579,Bajo
-37.13079,-58.46785,Bajo
-37.126942,-58.471889,Bajo
-37.15027,-58.55761,Bajo
-37.198818,-58.478767,Bajo
-37.17711,-58.44324,Bajo
-37.14997,-58.513485,Bajo
-37.15397,-58.50296,Bajo
-37.16594,-58.49109,Bajo
-36.8242,-59.845,Bajo
-36.818096,-59.807045,Bajo
-36.81478,-59.733353,Bajo
-36.7747,-59.757568,Bajo
-36.96637,-59.7214,Bajo
-37.299461,-59.936798,Bajo
-36.996932,-59.546328,Bajo
-36.366138,-59.811279,Bajo
-36.36725,-59.47982,Bajo
-36.809891,-59.82045,Bajo
-37.3077,-59.90039,Bajo
-38.65115,-62.43755,Bajo
-38.6806,-62.3586,Bajo
-38.523281,-62.302399,Bajo
-38.6558,-62.444031,Bajo
-38.677399,-62.453098,Bajo
-38.685944,-62.433594,Bajo
-38.5149,-61.8477,Bajo
-37.915436,-58.38919,Bajo
-37.64479,-58.49231,Bajo
-37.880814,-58.078663,Bajo
-37.705311,-58.517159,Bajo
-37.522499,-58.734268,Bajo
-37.894428,-58.462391,Bajo
-37.89811,-58.40969,Bajo
-33.85186,-59.53876,Bajo
-33.891899,-59.618229,Bajo
-33.829,-59.54503,Bajo
-33.844879,-59.563011,Bajo
-34.02276,-59.68201,Bajo
-34.04847,-59.54581,Bajo
-34.006489,-59.501701,Bajo
-33.844742,-59.581959,Bajo
-33.92551,-59.58408,Bajo
-33.957,-59.657,Bajo
-34.01206,-60.02899,Bajo
-33.937729,-60.094349,Bajo
-33.99135,-60.0816,Bajo
-34.027401,-60.148209,Bajo
-34.20459,-60.09818,Bajo
-34.133518,-60.079811,Bajo
-34.195599,-60.11272,Bajo
-34.06507,-60.0439,Bajo
-33.934299,-60.10001,Bajo
-33.987759,-59.987759,Bajo
-34.02153,-60.16914,Bajo
-34.026131,-60.138088,Bajo
-33.994259,-59.879219,Bajo
-34.0495,-60.13567,Bajo
-34.050251,-60.15435,Bajo
-33.90559,-59.93708,Bajo
-34.05622,-60.05158,Bajo
-33.90593,-60.04253,Bajo
-33.98899,-59.7973,Bajo
-34.045979,-60.143646,Bajo
-33.86617,-60.16798,Bajo
-34.038605,-60.138306,Bajo
-34.051846,-60.157925,Bajo
-34.030384,-60.164803,Bajo
-33.938698,-60.09548,Bajo
-33.925831,-60.142269,Bajo
-33.952145,-60.23148,Bajo
-33.918221,-60.233292,Bajo
-34.018463,-60.11546,Bajo
-33.965126,-59.862152,Bajo
-34.01041,-60.14526,Bajo
-33.984112,-59.92881,Bajo
-33.82761,-60.170212,Bajo
-34.95637,-57.81195,Bajo
-36.2715,-61.164051,Bajo
-36.19304,-61.07248,Bajo
-36.22625,-61.235481,Bajo
-36.266041,-61.13168,Bajo
-36.22137,-61.13649,Bajo
-36.26974,-61.07879,Bajo
-36.219109,-61.226101,Bajo
-36.138779,-61.015991,Bajo
-36.254864,-61.130333,Bajo
-35.940277,-60.786716,Bajo
-36.29196,-61.26999,Bajo
-36.42325,-61.12058,Bajo
-36.11439,-61.23521,Bajo
-36.482731,-61.19408,Bajo
-36.343773,-61.29927,Bajo
-36.42278,-61.23301,Bajo
-36.31332,-61.337971,Bajo
-36.337669,-61.24509,Bajo
-36.519844,-61.55348,Bajo
-36.08488,-61.15532,Bajo
-36.054447,-61.04819,Bajo
-35.90947,-61.027641,Bajo
-36.38249,-61.42254,Bajo
-36.43599,-61.42952,Bajo
-36.36771,-61.46434,Bajo
-36.327591,-61.240509,Bajo
-36.46425,-61.59369,Bajo
-36.54831,-61.41792,Bajo
-36.424873,-61.425076,Bajo
-36.277145,-61.317787,Bajo
-36.513519,-61.550304,Bajo
-36.133629,-61.02002,Bajo
-36.41266,-61.42123,Bajo
-36.26118,-61.146896,Bajo
-36.191582,-61.200001,Bajo
-36.510269,-61.548191,Bajo
-34.781178,-60.751423,Bajo
-34.79104,-60.74871,Bajo
-35.150951,-60.544559,Bajo
-35.296505,-60.435444,Bajo
-35.252979,-60.378109,Bajo
-35.192619,-60.60976,Bajo
-34.87363,-60.69925,Bajo
-35.192081,-60.352299,Bajo
-35.27118,-60.70832,Bajo
-35.1375,-60.73061,Bajo
-35.113628,-60.63512,Bajo
-35.203259,-60.469761,Bajo
-35.346073,-60.509621,Bajo
-35.29604,-60.65178,Bajo
-35.10374,-60.50624,Bajo
-35.1462,-60.70437,Bajo
-34.876999,-60.742241,Bajo
-34.68413,-60.70425,Bajo
-34.79694,-60.716579,Bajo
-35.0246,-60.33247,Bajo
-35.312294,-60.504543,Bajo
-35.33029,-60.50792,Bajo
-35.301445,-60.6078,Bajo
-35.28564,-60.64258,Bajo
-34.79916,-60.710789,Bajo
-35.281658,-58.190029,Bajo
-35.126122,-58.740505,Bajo
-35.0844,-58.74728,Bajo
-35.263908,-58.594898,Bajo
-35.13444,-58.87667,Bajo
-35.125641,-58.73909,Bajo
-35.02882,-58.60453,Bajo
-35.111202,-58.734497,Bajo
-34.11936,-59.77436,Bajo
-34.10426,-59.94277,Bajo
-34.10967,-59.94756,Bajo
-34.15747,-59.79246,Bajo
-34.21816,-59.83451,Bajo
-34.155689,-59.787319,Bajo
-34.20853,-59.833839,Bajo
-35.63806,-61.38626,Bajo
-35.62438,-61.34664,Bajo
-35.60162,-61.36104,Bajo
-35.48353,-61.48555,Bajo
-35.633202,-61.48024,Bajo
-35.496,-61.4892,Bajo
-35.45243,-61.54967,Bajo
-35.8062,-61.35767,Bajo
-36.00843,-61.355991,Bajo
-35.55756,-61.15263,Bajo
-35.39023,-62.37346,Bajo
-35.42953,-62.40666,Bajo
-35.379971,-62.5499,Bajo
-35.3818,-62.54813,Bajo
-35.25455,-62.73939,Bajo
-35.261219,-62.742229,Bajo
-35.19393,-62.79653,Bajo
-35.23248,-62.81151,Bajo
-35.219803,-62.764458,Bajo
-34.40329,-59.80957,Bajo
-34.24983,-59.89537,Bajo
-34.37439,-59.80449,Bajo
-34.39379,-59.81905,Bajo
-34.47435,-60.053638,Bajo
-34.363491,-59.80896,Bajo
-34.49336,-60.07613,Bajo
-34.38913,-59.8294,Bajo
-34.3918,-59.83867,Bajo
-34.41812,-59.83596,Bajo
-34.37913,-59.84533,Bajo
-34.33701,-59.85693,Bajo
-34.269985,-59.88268,Bajo
-34.410881,-59.833237,Bajo
-34.430679,-59.891499,Bajo
-36.176998,-57.76141,Bajo
-36.103683,-57.748905,Bajo
-34.060902,-61.208302,Bajo
-33.8433,-60.972,Bajo
-33.8117,-61.0288,Bajo
-34.0139,-61.0645,Bajo
-33.905399,-60.954102,Bajo
-33.947498,-61.099899,Bajo
-33.6613,-60.8824,Bajo
-33.879478,-61.11216,Bajo
-34.0824,-61.19096,Bajo
-34.023335,-61.09271,Bajo
-33.90814,-61.12746,Bajo
-33.909482,-61.172483,Bajo
-33.914303,-61.122417,Bajo
-34.048153,-61.21194,Bajo
-38.775898,-62.06972,Bajo
-38.890114,-61.99121,Bajo
-38.413315,-61.072147,Bajo
-38.721001,-61.339001,Bajo
-38.90058,-61.44556,Bajo
-38.87067,-61.40669,Bajo
-38.46545,-61.33807,Bajo
-38.745991,-61.609558,Bajo
-38.78764,-60.853519,Bajo
-38.39784,-60.9787,Bajo
-38.032959,-61.301929,Bajo
-38.26002,-61.36318,Bajo
-38.49975,-61.72691,Bajo
-38.61363,-61.73584,Bajo
-38.2504,-61.52911,Bajo
-38.45194,-61.5685,Bajo
-38.00621,-61.33963,Bajo
-37.95863,-61.354561,Bajo
-37.99884,-61.395046,Bajo
-37.4925,-62.02066,Bajo
-37.04503,-61.9616,Bajo
-37.10238,-61.84789,Bajo
-37.25939,-61.91355,Bajo
-34.731339,-60.279709,Bajo
-34.64436,-60.534409,Bajo
-34.61294,-60.43,Bajo
-34.60394,-60.5554,Bajo
-34.65914,-60.42567,Bajo
-34.671329,-60.51609,Bajo
-34.557659,-60.557659,Bajo
-34.489101,-60.627251,Bajo
-34.435951,-60.562229,Bajo
-34.51294,-60.53639,Bajo
-34.59521,-60.45549,Bajo
-34.50692,-60.53265,Bajo
-34.56867,-59.93143,Bajo
-34.643131,-60.552929,Bajo
-34.8207,-60.5014,Bajo
-34.527248,-60.534698,Bajo
-34.60049,-60.06325,Bajo
-34.585941,-60.07719,Bajo
-34.55305,-60.54244,Bajo
-34.689461,-60.367081,Bajo
-34.664249,-60.335079,Bajo
-34.580311,-60.095829,Bajo
-34.64721,-60.01966,Bajo
-34.61466,-60.55031,Bajo
-34.6336,-60.41962,Bajo
-34.59286,-60.60935,Bajo
-34.54108,-60.50996,Bajo
-34.634449,-60.520988,Bajo
-34.65923,-60.5551,Bajo
-34.6626,-60.52743,Bajo
-34.55941,-60.602982,Bajo
-34.536415,-60.523804,Bajo
-34.678947,-60.487164,Bajo
-34.69393,-60.20733,Bajo
-35.5961,-57.7823,Bajo
-35.355946,-58.004978,Bajo
-35.591572,-58.25111,Bajo
-35.4707,-57.8858,Bajo
-35.8084,-58.1779,Bajo
-35.5021,-57.9157,Bajo
-35.95416,-58.008675,Bajo
-35.890839,-57.905918,Bajo
-35.8712,-58.0812,Bajo
-34.9492,-60.0144,Bajo
-34.99295,-60.007011,Bajo
-34.90897,-60.107445,Bajo
-34.92754,-59.702965,Bajo
-34.8239,-60.08024,Bajo
-34.95317,-59.98931,Bajo
-34.85556,-60.083389,Bajo
-34.87358,-60.12158,Bajo
-35.080974,-59.92715,Bajo
-34.8316,-59.81994,Bajo
-34.847839,-60.236961,Bajo
-34.992578,-60.029655,Bajo
-35.082058,-59.778885,Bajo
-34.98865,-59.95505,Bajo
-34.84936,-60.06979,Bajo
-34.85666,-60.1001,Bajo
-34.838928,-60.043041,Bajo
-34.93108,-60.040081,Bajo
-34.75844,-60.04678,Bajo
-34.901958,-60.04958,Bajo
-34.84399,-60.09188,Bajo
-36.62371,-62.1126,Bajo
-36.3134,-62.199501,Bajo
-36.631512,-61.874538,Bajo
-36.61359,-61.759,Bajo
-36.68101,-61.89065,Bajo
-36.19583,-62.06031,Bajo
-36.3433,-57.8661,Bajo
-34.886185,-58.46145,Bajo
-34.27855,-59.10818,Bajo
-34.32489,-58.98832,Bajo
-34.314442,-59.158958,Bajo
-34.875559,-58.216868,Bajo
-38.096951,-57.832966,Bajo
-38.13068,-58.20292,Bajo
-38.101913,-57.83426,Bajo
-38.24257,-57.85456,Bajo
-36.14463,-60.628551,Bajo
-35.98637,-60.030529,Bajo
-35.916759,-60.293831,Bajo
-36.25243,-60.37416,Bajo
-36.0159,-60.10938,Bajo
-36.06549,-59.98216,Bajo
-36.000126,-59.962479,Bajo
-36.02421,-60.04461,Bajo
-35.881191,-59.94569,Bajo
-36.01445,-60.26614,Bajo
-36.08114,-60.02977,Bajo
-35.859558,-59.738499,Bajo
-35.9384,-60.13,Bajo
-36.02604,-60.0448,Bajo
-35.91454,-59.96644,Bajo
-36.0606,-60.05352,Bajo
-35.90443,-59.873421,Bajo
-36.03469,-60.37949,Bajo
-36.006512,-60.088348,Bajo
-34.28474,-61.26819,Bajo
-34.310829,-61.357792,Bajo
-34.231861,-61.22287,Bajo
-34.25935,-61.550659,Bajo
-34.246727,-61.1786,Bajo
-34.31398,-61.597759,Bajo
-34.192753,-61.250481,Bajo
-34.228279,-61.166885,Bajo
-34.169365,-61.19083,Bajo
-34.153301,-61.328789,Bajo
-34.320946,-61.636292,Bajo
-34.2416,-60.986309,Bajo
-34.17659,-61.17843,Bajo
-34.18772,-61.07486,Bajo
-34.142921,-61.07761,Bajo
-34.234501,-61.16206,Bajo
-34.293999,-61.414001,Bajo
-34.162041,-61.33255,Bajo
-34.25153,-61.27045,Bajo
-34.12044,-61.29336,Bajo
-34.1325,-61.0917,Bajo
-34.165909,-61.33374,Bajo
-34.34094,-61.59806,Bajo
-34.167419,-61.179131,Bajo
-34.19266,-61.05625,Bajo
-34.31435,-61.207729,Bajo
-34.229721,-61.185032,Bajo
-34.173592,-61.13868,Bajo
-34.1633,-61.204433,Bajo
-34.05101,-61.302029,Bajo
-34.16422,-61.0709,Bajo
-34.167419,-61.006359,Bajo
-34.30459,-61.55399,Bajo
-34.25449,-61.14901,Bajo
-34.243912,-61.042469,Bajo
-34.0999,-61.37905,Bajo
-34.218479,-61.352631,Bajo
-34.260319,-60.976879,Bajo
-34.08086,-61.14128,Bajo
-34.143646,-61.162926,Bajo
-34.077431,-61.32967,Bajo
-34.233025,-61.412098,Bajo
-34.281227,-61.107029,Bajo
-34.253811,-61.53717,Bajo
-34.14193,-61.179256,Bajo
-34.2378,-61.28401,Bajo
-34.33443,-61.12622,Bajo
-34.279617,-61.250057,Bajo
-34.232433,-61.238224,Bajo
-34.181252,-61.35659,Bajo
-34.09758,-61.145073,Bajo
-34.248993,-61.225624,Bajo
-34.326962,-61.226849,Bajo
-34.039669,-61.315811,Bajo
-34.154148,-61.45359,Bajo
-34.269272,-61.542309,Bajo
-35.859859,-58.437859,Bajo
-35.95612,-58.736832,Bajo
-35.87632,-58.552879,Bajo
-35.684231,-58.954823,Bajo
-37.187038,-56.955292,Bajo
-36.952881,-57.108601,Bajo
-37.25455,-61.2557,Bajo
-37.224091,-61.23867,Bajo
-37.504841,-61.360458,Bajo
-36.94529,-61.46476,Bajo
-37.2221,-61.15218,Bajo
-34.9403,-59.060101,Bajo
-34.9351,-58.9862,Bajo
-34.9133,-58.936401,Bajo
-34.9194,-58.9328,Bajo
-35.582417,-58.316151,Bajo
-35.384228,-58.263863,Bajo
-35.436008,-58.306988,Bajo
-35.558182,-58.393871,Bajo
-34.442982,-61.897549,Bajo
-38.03677,-57.66706,Bajo
-34.7127,-58.9981,Bajo
-34.627102,-58.977798,Bajo
-34.67074,-58.987392,Bajo
-34.692059,-58.961361,Bajo
-35.17208,-61.03147,Bajo
-34.843681,-60.942131,Bajo
-34.73598,-61.0194,Bajo
-35.03197,-61.07323,Bajo
-35.025181,-61.04966,Bajo
-34.763748,-60.963058,Bajo
-34.890598,-60.966042,Bajo
-34.795521,-60.824001,Bajo
-34.85694,-60.95202,Bajo
-34.91293,-61.10235,Bajo
-34.99408,-61.03524,Bajo
-35.05995,-60.9982,Bajo
-34.75494,-60.97554,Bajo
-34.9533,-60.929459,Bajo
-34.879978,-60.933331,Bajo
-35.08091,-61.16473,Bajo
-34.94693,-61.157139,Bajo
-35.21689,-61.01287,Bajo
-35.04404,-61.00936,Bajo
-35.113079,-61.12001,Bajo
-34.917149,-61.203388,Bajo
-34.985119,-61.047211,Bajo
